Date,Open,High,Low,Close,Volume
2023-12-29 19:00:00,163.5500,163.6400,163.3000,163.3100,690290
2023-12-29 18:00:00,163.2600,163.5500,163.2600,163.4000,689917
2023-12-29 17:00:00,163.4900,163.5500,155.4430,163.2500,87
2023-12-29 16:00:00,163.5900,163.5900,163.1300,163.4900,2194509
2023-12-29 15:00:00,163.3900,163.6800,163.3100,163.5900,558313
2023-12-29 14:00:00,163.2200,163.4300,163.1700,163.3850,209509
2023-12-29 13:00:00,163.0500,163.2700,162.9870,163.1900,157597
2023-12-29 12:00:00,163.0700,163.1500,162.8300,163.0500,176856
2023-12-29 11:00:00,163.4200,163.4900,163.0600,163.0600,203588
2023-12-29 10:00:00,163.8100,163.9100,163.3400,163.3670,234364
2023-12-29 09:00:00,163.6000,164.1800,163.6000,163.8300,169776
2023-12-29 08:00:00,163.9900,164.0500,163.6000,163.7200,380
2023-12-29 07:00:00,163.9000,163.9000,163.4800,163.6800,386
2023-12-29 06:00:00,163.9200,163.9200,163.7500,163.7500,23
2023-12-29 05:00:00,163.4600,163.4600,163.4600,163.4600,43
2023-12-29 04:00:00,163.7800,163.8300,163.7500,163.7700,66
2023-12-28 19:00:00,163.7500,164.0000,163.7100,163.8100,334473
2023-12-28 18:00:00,163.9500,163.9500,163.7500,163.9000,333918
2023-12-28 17:00:00,163.7500,163.9800,163.7000,163.7000,2884
2023-12-28 16:00:00,163.7700,163.9480,163.5100,163.7500,1047656
2023-12-28 15:00:00,163.8450,163.9600,163.4900,163.7500,609570
2023-12-28 14:00:00,163.7900,163.8800,163.7160,163.8410,155318
2023-12-28 13:00:00,163.5900,163.8400,163.4700,163.7870,201041
2023-12-28 12:00:00,163.5500,163.6000,163.4400,163.5800,163053
2023-12-28 11:00:00,163.6000,163.7700,163.5000,163.5400,142310
2023-12-28 10:00:00,163.4900,163.9450,163.4000,163.5900,251976
2023-12-28 09:00:00,163.4300,163.9600,163.0390,163.4900,162860
2023-12-28 08:00:00,163.5300,163.7000,162.9800,163.2370,397
2023-12-28 07:00:00,163.4700,163.6800,163.1200,163.4400,663
2023-12-28 06:00:00,163.4300,163.4400,163.2400,163.2400,46
2023-12-28 05:00:00,163.1100,163.2000,163.0800,163.0900,141
2023-12-28 04:00:00,163.7000,163.7000,163.1100,163.1100,193
2023-12-27 19:00:00,163.4600,163.6400,163.2600,163.4700,661034
2023-12-27 18:00:00,163.4650,163.6400,163.2200,163.4600,661187
2023-12-27 17:00:00,163.4600,163.4800,163.2100,163.4800,76
2023-12-27 16:00:00,163.4600,163.6800,162.8400,163.4600,2893261
2023-12-27 15:00:00,163.0900,163.4700,163.0100,163.4600,509121
2023-12-27 14:00:00,163.2850,163.2850,162.9500,163.0800,201513
2023-12-27 13:00:00,163.3000,163.5600,163.2100,163.3250,188472
2023-12-27 12:00:00,163.5000,163.5240,163.2560,163.3200,162237
2023-12-27 11:00:00,163.0900,163.6400,163.0800,163.5000,172179
2023-12-27 10:00:00,163.0600,163.5250,162.9000,163.0900,265023
2023-12-27 09:00:00,163.2300,163.4400,162.6800,163.0750,162314
2023-12-27 08:00:00,163.2400,163.8600,162.9390,163.3800,1862
